#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05145	Toxoplasmosis	8	103	0.91	0.99	3.16e-05	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000263464,9606.ENSP00000324532,9606.ENSP00000379350,9606.ENSP00000384273,9606.ENSP00000483825,9606.ENSP00000500582	MAPK14,MAPK3,BIRC3,LAMA3,ITGB1,RELA,IKBKG,AKT3
hsa05162	Measles	9	137	0.84	0.95	3.16e-05	9606.ENSP00000266970,9606.ENSP00000270139,9606.ENSP00000341208,9606.ENSP00000351497,9606.ENSP00000365042,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000483825,9606.ENSP00000500582	CDK2,IFNAR1,STAT5A,FCGR2B,CSNK2B,RELA,PIK3R1,IKBKG,AKT3
hsa05030	Cocaine addiction	6	49	1.11	1.06	3.78e-05	9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000384273,9606.ENSP00000387699	PRKACA,CREB3L2,ATF4,CREB3,RELA,CREB1
hsa04725	Cholinergic synapse	8	109	0.88	0.95	4.53e-05	9606.ENSP00000263025,9606.ENSP00000309591,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699,9606.ENSP00000428056,9606.ENSP00000500582	MAPK3,PRKACA,CREB3L2,ATF4,CREB3,CREB1,PIK3R1,AKT3
hsa04911	Insulin secretion	7	82	0.95	0.95	6.21e-05	9606.ENSP00000258111,9606.ENSP00000309591,9606.ENSP00000319370,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000387699	KCNMB4,PRKACA,KCNMB3,CREB3L2,ATF4,CREB3,CREB1
hsa05169	Epstein-Barr virus infection	10	192	0.73	0.84	6.71e-05	9606.ENSP00000229795,9606.ENSP00000266970,9606.ENSP00000270139,9606.ENSP00000362649,9606.ENSP00000379873,9606.ENSP00000384273,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000483825,9606.ENSP00000500582	MAPK14,CDK2,IFNAR1,HDAC1,HLA-A,RELA,PIK3R1,LYN,IKBKG,AKT3
hsa05160	Hepatitis C	9	157	0.78	0.85	8.38e-05	9606.ENSP00000263025,9606.ENSP00000266970,9606.ENSP00000270139,9606.ENSP00000290277,9606.ENSP00000384273,9606.ENSP00000418447,9606.ENSP00000428056,9606.ENSP00000483825,9606.ENSP00000500582	MAPK3,CDK2,IFNAR1,ARAF,RELA,PPP2CA,PIK3R1,IKBKG,AKT3
hsa04114	Oocyte meiosis	8	121	0.84	0.88	8.89e-05	9606.ENSP00000229795,9606.ENSP00000231487,9606.ENSP00000261461,9606.ENSP00000263025,9606.ENSP00000266970,9606.ENSP00000309591,9606.ENSP00000326031,9606.ENSP00000418447	MAPK14,SKP1,PPP2R5A,MAPK3,CDK2,PRKACA,PPP1CA,PPP2CA
hsa04730	Long-term depression	6	59	1.03	0.95	9.48e-05	9606.ENSP00000263025,9606.ENSP00000290277,9606.ENSP00000371886,9606.ENSP00000396045,9606.ENSP00000418447,9606.ENSP00000428924	MAPK3,ARAF,JMJD7-PLA2G4B,PLA2G4B,PPP2CA,LYN
hsa04213	Longevity regulating pathway - multiple species	6	61	1.01	0.93	0.00011	9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000339527,9606.ENSP00000362649,9606.ENSP00000428056,9606.ENSP00000500582	RPS6KB2,PRKACA,FOXO3,HDAC1,PIK3R1,AKT3
hsa05414	Dilated cardiomyopathy	7	94	0.89	0.87	0.00013	9606.ENSP00000200181,9606.ENSP00000296585,9606.ENSP00000309591,9606.ENSP00000327290,9606.ENSP00000379350,9606.ENSP00000452786,9606.ENSP00000458162	ITGB4,ITGA2,PRKACA,ITGA11,ITGB1,ITGB3,ACTG1
hsa04137	Mitophagy - animal	6	64	0.99	0.9	0.00014	9606.ENSP00000289104,9606.ENSP00000336790,9606.ENSP00000339527,9606.ENSP00000365042,9606.ENSP00000384273,9606.ENSP00000391803	MRAS,ATF4,FOXO3,CSNK2B,RELA,MITF
hsa04914	Progesterone-mediated oocyte maturation	7	95	0.89	0.86	0.00014	9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000266970,9606.ENSP00000290277,9606.ENSP00000309591,9606.ENSP00000428056,9606.ENSP00000500582	MAPK14,MAPK3,CDK2,ARAF,PRKACA,PIK3R1,AKT3
