"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"LXN","up",0.68681538419854,14.2270228694315,2.34685245899862,0.0278438853607555,0.86895642627951,TRUE,"up",TRUE
"GK","up",1.37385010937172,9.44671158516232,2.34395058538151,0.0280184220438208,0.869564822334274,TRUE,"up",TRUE
"VCAM1","up",0.853139089389107,14.2077890464173,2.33403922824323,0.0286221530527861,0.870127158638673,TRUE,"up",TRUE
"ITGAV","down",0.770684909829214,13.3479687350109,2.32987132962056,0.0288795785699082,0.870127158638673,TRUE,"up",FALSE
"PIAS4","down",0.985467298433043,9.55840881538117,2.32223472076719,0.0293567602046269,0.875483295842218,TRUE,"up",FALSE
"FN1","down",0.742982403840009,10.5537503173355,2.31242716218838,0.0299801919354975,0.875483295842218,TRUE,"up",FALSE
"ANTXR1","down",0.73409621819683,12.4428895937521,2.31214891515286,0.0299980546689012,0.875483295842218,TRUE,"up",FALSE
"CXCL1","down",0.810342748510844,11.4602149593098,2.29996368417747,0.0307899351202719,0.881924573660142,TRUE,"up",FALSE
"TNFSF11","up",0.579299464503568,8.56157173378152,2.29316642853716,0.031239930134445,0.881924573660142,TRUE,"up",TRUE
"ATP1B4","up",0.753342106362481,8.63317097178047,2.29225060684249,0.0313010171720967,0.881924573660142,TRUE,"up",TRUE
"PLAUR","down",1.06995614497382,11.7347873371065,2.29218055262551,0.0313056944122725,0.881924573660142,TRUE,"up",FALSE
"PTPN7","down",0.864470973343329,9.26925232195632,2.29078504862098,0.0313989998219554,0.881924573660142,TRUE,"up",FALSE
"PCSK6","up",0.535839792560655,9.42984143278744,2.28342096645207,0.0318955943676298,0.881924573660142,TRUE,"up",TRUE
"TNFSF9","up",0.744465743270222,9.32201699699059,2.28341258750215,0.0318961634617957,0.881924573660142,TRUE,"up",TRUE
"F11","down",0.787101304208014,8.3689117761232,2.28104820397445,0.0320571221637925,0.881924573660142,TRUE,"up",FALSE
"SH2D2A","down",0.789572130980283,8.73220958354102,2.27456588834959,0.0325022252382438,0.881924573660142,TRUE,"up",FALSE
"TREM2","up",0.955176698016003,10.2999028746126,2.2743639837925,0.0325161789778741,0.881924573660142,TRUE,"up",TRUE
"BDKRB1","up",1.17431594427312,12.4927465014729,2.27427828768863,0.032522103136741,0.881924573660142,TRUE,"up",TRUE
"PCDH11X","up",0.735037659548005,8.44396026237373,2.26700620195696,0.0330284228812021,0.88668612196458,TRUE,"up",TRUE
"VIL1","down",0.512588762528077,8.61325893409972,2.26195907342913,0.033384043668272,0.890524680781676,TRUE,"up",FALSE
"PTPN4","up",0.626022521131448,9.60411524228784,2.25505148846625,0.0338764084543189,0.893696999097244,TRUE,"up",TRUE
"BUB1","up",1.09250877500878,9.00899128820884,2.25211863850827,0.0340874516917733,0.897122527377769,TRUE,"up",TRUE
"ALDH18A1","up",0.619086077135398,12.7876192535832,2.24812523377971,0.0343767353887696,0.897122527377769,TRUE,"up",TRUE
"C19orf26","down",0.745876844513571,8.82898009104653,2.24808619986557,0.0343795740140644,0.897122527377769,TRUE,"up",FALSE
"TMOD4","up",0.696876261649119,8.60025481444801,2.24543355961246,0.0345729799333589,0.897122527377769,TRUE,"up",TRUE
"GUCA1B","down",0.619452167149471,9.11164491542893,2.2323960237313,0.035538020478298,0.897122527377769,TRUE,"up",FALSE
"RNF166","up",0.873500056942739,11.099702102248,2.2302530853371,0.0356989637886405,0.897122527377769,TRUE,"up",TRUE
"DEFA4","up",0.692078543086925,8.67776821550953,2.22473964064004,0.0361160936620051,0.897122527377769,TRUE,"up",TRUE
"WDR19","up",0.610047788392929,9.71336565656693,2.20920414936565,0.037315369374745,0.897122527377769,TRUE,"up",TRUE
"PROZ","down",0.667915666506616,8.45336816411464,2.2076003389941,0.037441211386725,0.897122527377769,TRUE,"up",FALSE
"PDLIM3","up",0.773917746954242,12.2099300075967,2.20066234646751,0.0379900399636019,0.897122527377769,TRUE,"up",TRUE
"MMP10","up",1.10137603025797,8.92590358839389,2.19987086350278,0.038053111040073,0.897122527377769,TRUE,"up",TRUE
"HSDL1","up",0.655702161126391,9.81482597570522,2.19833664771048,0.0381756386178946,0.897122527377769,TRUE,"up",TRUE
"CADPS","down",-0.835764677533615,9.50174400980217,-2.19667068903651,0.0383090921855695,0.897122527377769,TRUE,"down",TRUE
"WNK2","up",0.528981270772721,9.05598744411459,2.19604969769888,0.0383589454112236,0.897122527377769,TRUE,"up",TRUE
"RABEP1","up",-0.806986033219424,9.5221906160842,-2.19495467491319,0.0384469970529473,0.897122527377769,TRUE,"down",FALSE
"CSTL1","up",0.672889150861497,8.72736547525304,2.19106488040706,0.0387612599404132,0.897122527377769,TRUE,"up",TRUE
"BCAN","up",0.858535397058106,9.08895996405116,2.18946336430006,0.038891323339578,0.897122527377769,TRUE,"up",TRUE
"DCDC2","down",0.91222859188864,8.52959899412012,2.18556415807581,0.0392096409948763,0.897122527377769,TRUE,"up",FALSE
