"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"THBS4","down",0.946432749166667,10.137105205,4.79254724195879,0.000269674107551742,0.0149075475049986,TRUE,"up",FALSE,FALSE
"BCL7B","down",0.218331775333334,8.707505434,4.76516450779681,0.000284137725505444,0.015248233863394,TRUE,"up",FALSE,FALSE
"C10orf57","up",-0.263671786166666,9.39091726791667,-4.74842552629109,0.000293371476256208,0.0153461927781699,TRUE,"down",FALSE,FALSE
"TRIM32","up",-0.302525351666666,9.5678920715,-4.74024313648198,0.000297997290947067,0.015406608692691,TRUE,"down",FALSE,FALSE
"MSX2","down",0.589396826583334,6.51681815179167,4.73094648694413,0.000303344489030822,0.0154516720707634,TRUE,"up",FALSE,FALSE
"CTR9","down",-0.181606179999999,10.7527643008333,-4.71966800786813,0.00030996473805619,0.0156238973743178,TRUE,"down",TRUE,FALSE
"RBM12B","up",-0.303502411749999,9.36491690654167,-4.7211979170745,0.000309058042828749,0.0156238973743178,TRUE,"down",FALSE,FALSE
"CAB39L","up",0.462109242833334,9.2713791405,4.7165441219046,0.000311824629515097,0.0156274433682147,TRUE,"up",TRUE,FALSE
"L1CAM","down",0.329412515000001,6.35662730183333,4.71169615437977,0.00031473382633928,0.0156889082493588,TRUE,"up",FALSE,FALSE
"TNNT3","down",-0.515817317499999,6.96166619666667,-4.68637424986377,0.000330390633783717,0.0160655677197616,TRUE,"down",TRUE,FALSE
"CPT1A","up",0.292705822083335,9.708532114125,4.66536426078945,0.000343990069923248,0.0163519610545081,TRUE,"up",TRUE,FALSE
"MRPS36","up",0.158139553333334,12.4678680875,4.65978144630284,0.000347699876267844,0.0163519610545081,TRUE,"up",TRUE,FALSE
"GABARAPL1","up",0.377584890666667,10.469821638,4.65440218907257,0.000351313433486357,0.0164894426061754,TRUE,"up",TRUE,FALSE
"CCDC117","down",-0.228952004999999,8.64893554041667,-4.64718067108477,0.00035622549450664,0.016612202139598,TRUE,"down",TRUE,FALSE
"ZNF420","down",-0.287575055666667,7.41329814075,-4.64585236606841,0.000357136683485179,0.016612202139598,TRUE,"down",TRUE,FALSE
"MAGEA6","up",0.453600016750002,8.17819630404167,4.64445585026791,0.000358097253810822,0.0166173294972423,TRUE,"up",TRUE,FALSE
"BTN3A2","down",-0.228306861583333,10.134709647375,-4.64190187924735,0.00035986085289364,0.0166299606243013,TRUE,"down",TRUE,FALSE
"HIVEP2","down",0.240447186250001,10.191569599875,4.64026468211781,0.000360996095275159,0.0166299606243013,TRUE,"up",FALSE,FALSE
"FABP4","up",-0.442437057416667,6.64784424629167,-4.60393253436357,0.00038716135815863,0.0171541932315657,TRUE,"down",FALSE,FALSE
"IDS","up",0.202244716750001,9.794035539875,4.60045296115558,0.000389767650022059,0.0171541932315657,TRUE,"up",TRUE,FALSE
"TWISTNB","down",0.272891629666667,10.2059478726667,4.60065233007603,0.00038961783063855,0.0171541932315657,TRUE,"up",FALSE,FALSE
"FSTL3","up",0.449100045583333,10.0655936604583,4.58170961560644,0.000404120987136649,0.0174096558078231,TRUE,"up",TRUE,FALSE
"PLEKHB2","down",0.193839490083334,8.563676181125,4.58145059453107,0.000404323109257721,0.0174096558078231,TRUE,"up",FALSE,FALSE
"SLC25A5","up",0.190094472500002,13.1713593170833,4.56013265526915,0.000421320036761883,0.0177877462493039,TRUE,"up",TRUE,FALSE
"CSDA","down",0.531211897500001,12.00126484625,4.54782926989476,0.000431462604089519,0.0179346669451333,TRUE,"up",FALSE,FALSE
"WDR89","up",-0.194406668416666,7.751691171375,-4.54918264450426,0.000430334727649768,0.0179346669451333,TRUE,"down",FALSE,FALSE
"THBD","down",1.0767332625,13.1947247995833,4.54497401744409,0.000433852104818748,0.0179713795885741,TRUE,"up",FALSE,TRUE
"KRTAP6-3","down",0.660321478666667,7.41550905608333,4.53936713583264,0.000438584085733195,0.0180499135256978,TRUE,"up",FALSE,FALSE
"ASB7","down",-0.268065426,7.27168341066667,-4.53415542983217,0.000443030170777874,0.0180921659798657,TRUE,"down",TRUE,FALSE
"DUSP10","up",0.844072843416668,7.37848996154167,4.53408593643117,0.000443089767546819,0.0180921659798657,TRUE,"up",TRUE,FALSE
"ARMC7","up",-0.2455427695,8.80219304625,-4.52655450134084,0.000449597769070268,0.0181759606018022,TRUE,"down",FALSE,FALSE
"ATP2A3","up",0.434550822250001,7.81220448229167,4.51599007201587,0.000458892707589979,0.0181759606018022,TRUE,"up",TRUE,FALSE
"CPNE5","down",-0.705663862333333,9.54646897508333,-4.52314429786822,0.000452576826544989,0.0181759606018022,TRUE,"down",TRUE,FALSE
"MTERF","up",-0.336912585272727,7.59795922009091,-4.61151667297953,0.000458572057884672,0.0181759606018022,TRUE,"down",FALSE,FALSE
"TRO","down",-0.403939905833333,11.0576064595833,-4.52225733056805,0.00045335497793896,0.0181759606018022,TRUE,"down",TRUE,FALSE
"DNAJC15","up",0.258192769166667,12.15737277125,4.51423952038619,0.000460451884257447,0.018179365880111,TRUE,"up",TRUE,FALSE
"TBC1D9B","down",-0.1506697825,12.0505406795833,-4.51123931054539,0.000463136784456321,0.0182390192225942,TRUE,"down",TRUE,FALSE
"DDX3X","down",0.359937782500001,11.09195835125,4.50784828270811,0.000466190818485322,0.01826178084903,TRUE,"up",FALSE,FALSE
"SLA","down",-0.369970453833333,9.24094071391667,-4.50315308854213,0.000470453635197245,0.0183089760722385,TRUE,"down",TRUE,FALSE
"ZNF506","up",-0.196382379333333,8.86982785508333,-4.48279629813657,0.000489404429502181,0.0186376365623906,TRUE,"down",FALSE,FALSE
"PPP2R2B","up",0.391315698833334,9.20939210758333,4.46514388270337,0.00050647234961526,0.0189147942875545,TRUE,"up",TRUE,FALSE
"B3GALNT2","down",0.386531367416667,9.445244921125,4.45833329509117,0.000513219886855252,0.0189391547795325,TRUE,"up",FALSE,FALSE
"SIT1","up",-0.269321754916667,5.971561918375,-4.45954629367563,0.000512011392301993,0.0189391547795325,TRUE,"down",FALSE,FALSE
