"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00500",18,0.306454351082738,0.842357145639228,0.7,"AGL/UGT1A7/UGT1A6/PGM1/UGDH/GBE1/PGM2/AMY1A/GUSB/GYS2/UXS1/PYGM/UGT2B7/AMY2A/AMY1C/UGT2A1/UGT1A9/HK1",0.985915492957746
"00565",13,0.255129472847858,0.770289235367853,0.7,"PLA2G10/LPCAT4/JMJD7-PLA2G4B/LPCAT2/CEPT1/CHPT1/PLB1/PLA2G12A/PLD2/PLA2G4B/PLA2G7/PLA2G3/PLA2G4E",0.985915492957746
"03008",22,0.197151014898702,0.63161850824724,0.7,"CSNK2B/NOL6/RCL1/RPP30/NOP10/UTP6/WDR36/POP7/POP4/WDR75/TAF9/FCF1/EIF6/WDR3/NOB1/SBDS/TCOF1/NXF1/XRN2/RIOK1/UTP14C/MDN1",0.985915492957746
"03013",49,0.235265924223087,0.797776678936982,0.7,"DDX39B/RAE1/SAP18/PABPC1/PABPC4/EEF1A1/PABPC4L/EIF1/RPP30/NUP133/RPP14/EIF4A2/PABPC3/AAAS/NUP35/XPOT/GEMIN2/SEH1L/THOC6/GEMIN4/SEC13/TGS1/POP7/EIF1B/EIF3E/EIF3H/POP4/PHAX/NUP37/NUP98/NCBP1/POM121C/EIF2B4/PAIP1/NXF1/ALYREF/SUMO4/UPF3A/EIF5B/THOC7/UPF2/SMN1/ACIN1/UPF3B/EIF3J/EIF3A/EIF4G1/RANBP2/THOC2",0.985915492957746
"04742",13,0.372243537530522,0.839841085534234,0.7,"GNG3/CACNA1A/TAS2R40/CACNA1B/TAS2R20/GNAS/KCNB1/SCNN1A/SCNN1G/PRKACA/ASIC2/TAS2R10/PRKACG",0.985915492957746
"00533",5,0.374944097797285,0.803317527915736,0.75,"B4GALT3/CHST2/ST3GAL3/ST3GAL1/CHST1",1
"00534",7,0.267204174948782,0.739753766776958,0.75,"HS2ST1/HS3ST3B1/B3GALT6/EXT1/HS6ST1/EXT2/HS6ST2",1
"00590",15,0.310370466250939,0.814669805606265,0.75,"GPX1/PLA2G10/CYP2C8/JMJD7-PLA2G4B/ALOX12B/PLB1/ALOX12/ALOX15B/PLA2G12A/CYP2E1/PLA2G4B/PTGS2/PLA2G3/CYP2C19/PLA2G4E",1
"04130",12,0.326888112063914,0.81490002621377,0.75,"VAMP3/VAMP1/BET1/VAMP2/BNIP1/STX16/SNAP25/BET1L/STX6/VAMP5/GOSR1/STX4",1
"04974",21,0.288704953235973,0.82816799570602,0.75,"SLC1A5/ATP1B3/PRCP/ATP1B4/COL15A1/SLC7A7/SLC3A2/CELA3B/KCNQ1/XPNPEP2/COL17A1/SLC3A1/CTRB1/SLC9A3/ATP1A2/COL1A2/COL11A2/KCNJ13/SLC6A19/ATP1B1/ELN",1
