"PATH","Nh","NES_normal_fenotipo","pvalue_normal_fenotipo","p.adjust_normal_fenotipo","NES_preranked_genesetperm","pvalue_preranked_genesetperm","p.adjust_preranked_genesetperm","Direcao_normal","Direcao_preranked","Direcao_concorda","Sig_normal_FDR05","Sig_preranked_FDR05","Sig_so_no_preranked"
"00290",7,-0.837183069510543,0.127744510978044,0.287095911270243,-0.686254191419936,0.45954045954046,0.48163375086452,"para baixo no POP","para baixo no POP",TRUE,FALSE,FALSE,FALSE
"04973",35,1.25020605412938,0.143712574850299,0.319687156299646,1.64471973131137,0.002997002997003,0.0176580176580177,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04970",80,1.25835003788296,0.145708582834331,0.319948338616884,1.84382448716277,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04971",70,1.27568943149407,0.147704590818363,0.319948338616884,1.83236538262251,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04210",78,1.24410171343591,0.149700598802395,0.319948338616884,1.75923534928052,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04730",62,1.22972342101126,0.149700598802395,0.319948338616884,1.7018358139063,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04720",65,1.26966059297248,0.159680638722555,0.337964847005019,1.7927837376175,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05211",62,1.24530405201235,0.171656686626747,0.35981882389068,1.69313247417634,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05016",153,1.35792531622764,0.17564870259481,0.364680163482559,2.02162694316012,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"00190",98,1.4226354223483,0.183632734530938,0.374130244184528,1.96576678400133,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04012",80,1.21762339404398,0.183632734530938,0.374130244184528,1.72812014552319,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04540",72,1.18311080078066,0.187624750499002,0.378724033414652,1.67934999373709,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05160",120,1.16575610712378,0.189620758483034,0.379241516966068,1.7579202253581,0.001998001998002,0.0120990120990121,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"04320",22,1.20386114473375,0.203592814371257,0.399848950747154,1.47554681486588,0.021978021978022,0.0598901098901099,"para cima no POP","para cima no POP",TRUE,FALSE,FALSE,FALSE
"04950",20,1.32603456876837,0.203592814371257,0.399848950747154,1.58289699594002,0.010989010989011,0.0399267399267399,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05143",31,1.22827176973576,0.213572854291417,0.415704305674366,1.60462565960832,0.00799200799200799,0.0316774134955953,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"03050",42,1.26631768727483,0.217564870259481,0.419726917845724,1.68405406913452,0.003996003996004,0.0223366377212531,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
"05414",89,1.16711292070671,0.219560878243513,0.419862030325314,1.69485958584322,0.000999000999000999,0.00725940725940726,"para cima no POP","para cima no POP",TRUE,FALSE,TRUE,TRUE
