"Gene","logFC_GSE12852","P.Value_GSE12852","adj.P.Val_GSE12852","logFC_GSE53868","P.Value_GSE53868","adj.P.Val_GSE53868","Dir_12852","Dir_53868","Concordante"
"TBX2",0.244592165469132,0.58492326521779,0.974763679508199,0.00777864333333497,0.957311959317163,0.982383737900951,"up","up",TRUE
"TBX20",0.69509496261169,0.148452501585994,0.974763679508199,0.111830951583334,0.10293567992924,0.30864087622383,"up","up",TRUE
"TBX21",0.394312496448936,0.339977691900904,0.974763679508199,-0.262139905083334,0.0168544616086636,0.108968337724593,"up","down",FALSE
"TBX22",0.400420268478081,0.26785384998928,0.974763679508199,-0.017764967666666,0.777826627921651,0.901766679887287,"up","down",FALSE
"TBX3",-0.484135716211883,0.1974427694438,0.974763679508199,0.295023815166668,0.0265084606029366,0.140020155093475,"down","up",FALSE
"TBX4",-0.499131745931595,0.15585134503302,0.974763679508199,-0.0109018260833328,0.849518918314728,0.933224388540754,"down","down",TRUE
"TBX5",0.614904636440303,0.107533309533957,0.963898920258714,0.0675861465000009,0.259698473474336,0.516422855630398,"up","up",TRUE
"TBX6",0.394957503151663,0.0975223561216515,0.963518020108213,-0.0156317949166658,0.775342586327846,0.900654856687295,"up","down",FALSE
"TBXA2R",-0.282033444467533,0.50440576947938,0.974763679508199,-0.00390229074999867,0.961825350936657,0.984122672033187,"down","down",TRUE
"TBXAS1",0.848804147979568,0.0996734510640461,0.963518020108213,0.166032491666667,0.00691685501821874,0.0654846188684012,"up","up",TRUE
"TCAP",0.974084416250094,0.0141201420379306,0.767904387780367,-0.129078237916665,0.112436634047057,0.325140166878564,"up","down",FALSE
"TCBA1",0.449719757352934,0.359851480394849,0.974763679508199,-0.00010970849999916,0.998937752742201,0.999650542169788,"up","down",FALSE
"TCEA1",0.141486395074304,0.627580163855838,0.974763679508199,0.00702279083333477,0.885654456633645,0.950625274600263,"up","up",TRUE
"TCEA2",0.184023776105267,0.54485138803513,0.974763679508199,-0.00929735683333173,0.901098414281059,0.957752272304203,"up","down",FALSE
"TCEA3",0.148686267828399,0.633385578494066,0.974763679508199,0.126044846363634,0.0289157619776188,0.147556340313446,"up","up",TRUE
"TCEAL1",-0.147194792649759,0.655258860638715,0.974763679508199,-0.155860053333332,0.0357275693600416,0.166845361326491,"down","down",TRUE
"TCEAL2",-0.0239027994815021,0.927659637035301,0.995285435937458,0.0206987100000018,0.84359457519634,0.930694771569811,"down","up",FALSE
