"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"ADSL","up",1.14528864132264,0.0775796592499998,0.2573174977333,"up",TRUE
"AEBP2","up",2.00658578009345,0.132092088083333,0.0525784442360916,"up",TRUE
"AFF1","down",-2.68096876673423,-0.0501998853333334,0.650840695996965,"down",TRUE
"AFF3","down",-2.75376336518031,-0.0315522289166657,0.861141989325484,"down",TRUE
"AFG3L2","up",1.53839542660178,0.153761898083333,0.0823903358887052,"up",TRUE
"AFMID","down",-1.52256848789887,0.0277520506666672,0.822887932264247,"up",FALSE
"AFTPH","down",-1.28668033904472,-0.0118624833333327,0.888651363564284,"down",TRUE
"AGL","up",2.55133975812983,-0.104173277833332,0.62400853960018,"down",FALSE
"AGPAT2","up",1.64603451433569,0.0363309471666679,0.658308338748582,"up",TRUE
"AGPAT4","up",1.48157737755593,0.00589194750000038,0.963564003560057,"up",TRUE
"AGR2","down",-2.22382268012843,-0.0198062372499995,0.923268200521808,"down",TRUE
"AGTPBP1","up",2.15275801330154,-0.000958093916666015,0.996268010100814,"down",FALSE
"AGTRAP","up",1.63281833587495,0.0428480035833337,0.568069220924249,"up",TRUE
"AHCY","up",1.86059831493965,-0.0881106266666665,0.463521238627115,"down",FALSE
"AHDC1","up",1.53383945212816,-0.127837362333332,0.372558679112108,"down",FALSE
"AHI1","up",1.2292814482289,0.209842494833334,0.0194250651619272,"up",TRUE
"AIM1L","down",-1.61695930618655,-0.118947166999999,0.714275016444186,"down",TRUE
"AIPL1","down",-2.28307157598098,0.0594863009166668,0.651112380002697,"up",FALSE
"AK3","up",1.85314957676474,-0.00231832066666672,0.986021460220949,"down",FALSE
"AKAP11","up",1.71468332703605,-0.195402630833332,0.13409445348357,"down",FALSE
"AKAP12","down",-2.64013410984556,0.470557233750001,0.0485340288214417,"up",FALSE
"AKAP13","down",-2.02345256037932,0.0268764091666675,0.871904042063085,"up",FALSE
"AKAP14","down",-2.70153457447435,-0.0287801871666661,0.784878278297021,"down",TRUE
"AKAP7","down",-1.68237544130206,-0.262899716166665,0.257833772756362,"down",TRUE
"AKAP9","down",-1.046940457276,0.0235684200000006,0.879833525723544,"up",FALSE
"AKNA","down",-1.73050288522574,-0.169401225916667,0.174563285591232,"down",TRUE
"AKR1A1","up",1.30005054804901,-0.0734604174999985,0.490971473875577,"down",FALSE
"AKR1B1","up",1.8193485073476,0.0345877300000003,0.815954129120668,"up",TRUE
"AKR1C4","up",2.58317023392821,0.0289177543333337,0.799613739388889,"up",TRUE
"AKR1D1","down",-2.30213529854284,0.0814916190833337,0.421620743443966,"up",FALSE
"AKR7A2","down",-5.58797533365889,-0.200518307499998,0.127050609506236,"down",TRUE
"AKT3","down",-1.31700310884974,0.316684434583334,0.0121430747003742,"up",FALSE
"ALAS1","down",-1.69581769560477,0.0761202343333337,0.384380709818894,"up",FALSE
"ALDH16A1","up",2.68945536575615,0.0518518090833334,0.592986069291582,"up",TRUE
"ALDH18A1","up",1.01792048311257,-0.195786947249999,0.236619301499844,"down",FALSE
"ALDH1A3","up",1.21700973426329,-0.0576817576666646,0.872516220088932,"down",FALSE
"ALDH1L1","up",1.35998730038895,-0.0545815470833327,0.717584794047657,"down",FALSE
"ALDH3A2","up",3.06121533807184,0.214475432000001,0.070894065691338,"up",TRUE
"ALDH3B1","down",-1.62445641137915,0.103779366250001,0.298312239757321,"up",FALSE
"ALDH3B2","up",2.67497135745949,-0.0224684498333331,0.894689760793388,"down",FALSE
"ALDH4A1","up",1.18436631393546,0.0991790608333346,0.444230884238569,"up",TRUE
"ALDH5A1","up",2.01036698274949,-0.227462499833332,0.0397328669778264,"down",FALSE
"ALDH9A1","up",2.07095585229633,-0.248585253333331,0.00853743118443771,"down",FALSE
"ALDOB","up",3.48791956873441,0.0636915654166671,0.409119543974029,"up",TRUE
"ALG10","up",2.97241300136002,-0.0372530289999984,0.588742894446778,"down",FALSE
"ALG10B","up",3.33541839719706,-0.0468816450000003,0.671361090974232,"down",FALSE
"ALG12","up",1.95514888195229,0.0636671693333351,0.410526226151763,"up",TRUE
"ALG14","up",2.57071057241945,0.0219579530000008,0.832453356470683,"up",TRUE
"ALG3","up",1.92748390909036,-0.141097395249999,0.109928064212854,"down",FALSE
"ALG6","up",2.53157497143039,-0.031722191499998,0.81242174760872,"down",FALSE
"ALG8","up",3.65374756464091,-0.181236506666665,0.20035164411514,"down",FALSE
"ALG9","up",2.16613889438654,-0.0721546367499994,0.272213688668803,"down",FALSE
"ALKBH1","up",1.12312231908147,-0.156836700416667,0.180635175773003,"down",FALSE
"ALKBH4","up",1.73490558586143,-0.283059909583333,0.0299609657726872,"down",FALSE
"ALOX12","up",3.05423116312991,-0.449758393,0.234405740840432,"down",FALSE
"ALOX12B","up",2.40030363655869,-0.0243082869999996,0.920692481570373,"down",FALSE
"ALOX15B","up",3.82778369847597,0.0195839973333344,0.949077688694468,"up",TRUE
"ALOXE3","up",2.67580046557916,0.0777224241666675,0.381907132621986,"up",TRUE
"ALPK1","down",-2.74125283681122,-0.146484814166665,0.279047787605746,"down",TRUE
"ALPL","down",-2.67393299060745,0.189155341416667,0.109730370611235,"up",FALSE
"ALS2","up",3.04445736921998,-0.0117300743333322,0.912575463459207,"down",FALSE
"ALS2CL","up",2.05037450482038,0.0839256725000004,0.499394690699186,"up",TRUE
"ALS2CR11","down",-2.3089698114361,-0.0296287259999995,0.826437976375567,"down",TRUE
"AMACR","up",1.17112431212716,-0.127492708166666,0.393947306616929,"down",FALSE
"AMBN","up",2.04304823547685,-0.0891184639166661,0.310468689030956,"down",FALSE
"AMELX","up",1.63733610116727,-0.0981461978333324,0.118296148654604,"down",FALSE
"AMELY","up",1.36442955639201,-0.0221213375833332,0.783997331935478,"down",FALSE
"AMHR2","down",-2.45152334649847,0.0127250491666673,0.942714444806356,"up",FALSE
"AMICA1","up",2.79513037191807,-0.227260752333333,0.167603299913075,"down",FALSE
"AMOT","down",-1.0768802967323,-0.31947690025,0.100460291593449,"down",TRUE
"AMOTL2","down",-2.7427455050545,0.379207717500002,0.186185306491074,"up",FALSE
"AMPD1","up",1.54634154406823,-0.410884693916666,0.160564733963266,"down",FALSE
"AMPD2","up",1.3821766806982,-0.0272422084999992,0.901669560377773,"down",FALSE
"AMT","up",1.08946411693623,-0.173739394666666,0.187747235735149,"down",FALSE
"AMY1C","down",-1.26163268788032,-0.224450784749999,0.210724769567715,"down",TRUE
"AMZ2","up",1.08199768991407,-0.0784611033333316,0.277269395018452,"down",FALSE
"ANAPC10","up",1.82229868192954,0.0446189665833329,0.574351452307242,"up",TRUE
