"TERM_ID","Count","geneID","p.adjust","par"
4514,25,"CD58/ESAM/HLA-DOA/PTPRF/ICAM2/MPZ/ITGAV/CD6/CD86/CD40/CLDN18/NCAM1/VCAM1/F11R/GLG1/CD276/HLA-A/NEO1/CD34/CLDN22/PTPRC/HLA-F/CLDN6/CLDN8/CDH1",2.03608736793764e-05,"Wei2020_x_GSE53868"
4514,28,"CD86/VCAM1/CD58/HLA-DQA1/HLA-DQA2/JAM2/MAG/CD34/ESAM/NCAM1/CLDN18/ICAM3/HLA-DRB1/CD8A/HLA-DMA/HLA-DMB/HLA-DPA1/HLA-DRA/ICAM2/HLA-DQB1/NRXN3/CLDN5/CD40/PTPRF/HLA-DOA/OCLN/CDH1/HLA-F",0.013624553690056,"Wei2020_x_GSE12852"
4520,3,"SMAD2/MET/CTNND1",0.00110237596562511,"Chen2003_x_GSE53868"
4520,14,"SNAI1/TGFBR1/RAC2/CDC42/MAPK1/PTPRF/SMAD3/TGFBR2/WASF3/RHOA/MET/MAPK3/CDH1/IQGAP1",0.00129732304096318,"Wei2020_x_GSE53868"
4520,2,"MET/SMAD2",0.0471603079823261,"Chen2003_x_GSE12852"
4520,18,"MAPK1/LEF1/MET/MAP3K7/ACP1/ACTG1/TGFBR1/MAPK3/RHOA/CTNND1/SNAI1/TGFBR2/EGFR/CSNK2B/IQGAP1/PTPRF/PTPN1/CDH1",0.0273267767305114,"Wei2020_x_GSE12852"
4940,8,"HLA-DOA/CD86/IL12A/INS/CPE/HLA-A/HLA-F/HSPD1",0.0227771492812678,"Wei2020_x_GSE53868"
4940,14,"CD86/HLA-DQA1/HLA-DQA2/HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DPA1/HLA-DRA/HSPD1/HLA-DQB1/IL12A/GAD1/HLA-DOA/HLA-F",0.00510203684583916,"Wei2020_x_GSE12852"
4974,14,"ATP1B3/ATP1A2/COL15A1/ATP1B4/ATP1B1/SLC7A7/XPNPEP2/SLC3A1/SLC1A5/COL17A1/SLC6A19/SLC3A2/COL1A2/SLC9A3",0.00282684467799198,"Wei2020_x_GSE53868"
4974,2,"CPA3/COL17A1",0.0481424666891738,"Chen2003_x_GSE12852"
5010,2,"COX4I1/NDUFA4",0.0265721254376923,"Chen2003_x_GSE53868"
5010,34,"ATP2A3/COX6C/MAPK1/UQCRB/COX7A2/COX4I2/GAPDH/UQCRFS1/NDUFV1/COX5B/COX6B1/LRP1/TNFRSF1A/NDUFA11/BACE2/IDE/CACNA1S/COX7C/COX5A/COX6A1/PLCB1/NDUFB1/ATP2A2/PSENEN/NDUFB4/UQCRQ/SDHC/NDUFA5/NDUFAB1/NDUFA2/CAPN2/MAPK3/NDUFA9/CASP8",7.80917275715071e-09,"Wei2020_x_GSE53868"
5010,37,"ATP2A1/MAPK1/BACE1/CACNA1S/NDUFB5/ATP2A2/NDUFA11/COX5B/CASP8/MAPK3/BACE2/CAPN2/GRIN2C/COX6B1/NDUFB1/COX7A2L/NDUFA9/NDUFB4/UQCRFS1/NDUFV1/SDHD/NDUFA5/CACNA1C/COX5A/APH1A/COX7C/COX4I2/NDUFA2/GRIN1/LPL/IDE/NDUFC1/COX6A1/NDUFAB1/TNFRSF1A/CDK5R1/NDUFB3",0.000975745271611169,"Wei2020_x_GSE12852"
5012,2,"COX4I1/NDUFA4",0.0170677707925278,"Chen2003_x_GSE53868"
5012,28,"SLC25A5/COX6C/UQCRB/COX7A2/COX4I2/UQCRFS1/NDUFV1/COX5B/COX6B1/NDUFA11/GPR37/SLC6A3/COX7C/COX5A/VDAC1/COX6A1/NDUFB1/HTRA2/NDUFB4/UQCRQ/UBB/VDAC2/SDHC/NDUFA5/NDUFAB1/NDUFA2/SLC25A31/NDUFA9",5.04693264078517e-09,"Wei2020_x_GSE53868"
5012,29,"NDUFB5/TH/GPR37/NDUFA11/COX5B/COX6B1/NDUFB1/COX7A2L/UBE2G1/UBB/NDUFA9/NDUFB4/UQCRFS1/NDUFV1/SDHD/NDUFA5/SLC25A5/VDAC1/COX5A/COX7C/COX4I2/NDUFA2/NDUFC1/VDAC2/COX6A1/NDUFAB1/UBE2J2/NDUFB3/SLC18A1",0.000340280379471415,"Wei2020_x_GSE12852"
5016,3,"RCOR1/COX4I1/NDUFA4",0.00469529577728618,"Chen2003_x_GSE53868"
5016,37,"SLC25A5/DNALI1/COX6C/UQCRB/BAX/COX7A2/COX4I2/UQCRFS1/NDUFV1/COX5B/COX6B1/NDUFA11/CREB3/COX7C/COX5A/GPX1/VDAC1/COX6A1/BDNF/PLCB1/NDUFB1/DCTN1/NDUFB4/UQCRQ/VDAC2/SDHC/NDUFA5/DNAI2/AP2A1/NDUFAB1/DNAL4/NDUFA2/SLC25A31/NDUFA9/CREB1/CLTA/CASP8",3.4858778668121e-09,"Wei2020_x_GSE53868"
5016,3,"RCOR1/COX4I1/NDUFA4",0.0355635702898485,"Chen2003_x_GSE12852"
