"GeneSymbol","Direction","PValue","FDR","FoldChange","EntrezID","logFC"
"RPL14","up",0.0001416847842,0.009896025,32.9597258,9045,5.0426323353264
"IL2RG","up",0.0001435771363,0.009901192,11.4948054,3561,3.52291013720867
"CCR2","up",0.0001438460675,0.009901192,6.098694,729230,2.60850033096242
"SCRIB","up",0.0001443643492,0.009901192,5.3976697,23513,2.43233669656178
"MCEE","up",0.0001453280674,0.009901192,11.4162743,84693,3.51301999901266
"BMP3","up",0.0001453440545,0.009901192,27.7067899,651,4.79216766519335
"KANSL2","up",0.0001454372514,0.009901192,8.7219708,54934,3.12465416047619
"SPHAR","up",0.0001456058772,0.009901192,4.3169558,10638,2.1100143215584
"PDLIM1","up",0.0001457668892,0.009901192,4.6175135,9124,2.20711617915132
"FOXN1","up",0.0001467442234,0.009901192,3.913334,8456,1.96839824838843
"MAGEE1","up",0.0001472000013,0.009901192,5.6617459,57692,2.50124700232807
"RTN1","up",0.0001473266975,0.009901192,10.9282183,6252,3.44998630291624
"TMEM230","up",0.0001479728973,0.009901192,5.0484896,29058,2.33585182894972
"FAM63B","down",0.0001485358611,0.009901192,11.7771931,54629,3.55792383242264
"DNMBP","up",0.0001485787775,0.009901192,18.0393323,23268,4.1730740351821
"TEX264","up",0.0001516737413,0.009999072,6.9345707,51368,2.79380657207278
"ZP3","up",0.0001518755279,0.009999072,4.0959256,7784,2.03418950989702
"AGFG1","up",0.0001528279193,0.009999072,8.2228452,3267,3.03963766953978
"SH3RF3","up",0.0001529993265,0.009999072,27.2256156,344558,4.766892765061
"COX7A2","up",0.0001542595475,0.01004912,5.2595241,1347,2.39493226536719
"C14orf80","down",0.0001558227924,0.010089153,134.6249439,283643,7.07280193335417
"PPIL2","up",0.0001571333731,0.010089153,2.80535,23759,1.48818077502809
"WFS1","up",0.0001571975061,0.010089153,5.5667309,7466,2.47683034391526
"SEMA4A","up",0.0001572588974,0.010089153,4.3071106,64218,2.10672037025329
"MAGEC3","up",0.0001576805755,0.010089153,6.7144764,139081,2.7472749015774
"SRPX2","down",0.0001581211202,0.010089153,3.4396602,27286,1.78226604981441
"ZFX","down",0.0001586445049,0.010089153,2.1832177,7543,1.12645599613304
"IAH1","up",0.0001588452114,0.010089153,4.5573265,285148,2.18818773309289
"WDR81","up",0.0001608588354,0.010156075,3.3154169,124997,1.72919029469546
"PAIP1","up",0.0001608982084,0.010156075,6.0943941,10605,2.60748279633746
"COLEC10","down",0.0001619094173,0.010188263,3.7192564,10584,1.8950142086269
"KDM1B","up",0.0001635277042,0.010258335,23.2265311,221656,4.53770179752627
"ABL2","down",0.000164702374,0.010300233,6.4704351,27,2.69386272852484
"FAM83G","down",0.0001654732694,0.0103167,11.5207258,644815,3.5261597036013
"TEPP","up",0.0001669547945,0.010354773,4.3396439,374739,2.11757666368779
"RAE1","up",0.0001678354768,0.010354773,16.9980385,8480,4.08729637009784
"TH","up",0.0001678626466,0.010354773,5.3117541,7054,2.40918836074321
"PLSCR3","up",0.0001685440816,0.010354773,11.1382808,57048,3.47745466394584
"CREBRF","down",0.0001692441327,0.010354773,7.54843,153222,2.91617660910658
"SPINK4","up",0.0001694428485,0.010354773,3.2420002,27290,1.69688417985576
"C17orf99","down",0.0001698338135,0.010354773,2.0609462,100141515,1.04330684451508
"BIN1","up",0.0001701596224,0.010354773,5.8236945,274,2.54193467646809
"SRSF6","up",0.0001719561583,0.010374729,2.7376316,6431,1.45292831781116
"FGA","up",0.0001721915182,0.010374729,7.9969881,2243,2.99945674107928
"PIGV","up",0.0001729124862,0.010374729,16.17022,55650,4.01526740206937
"SH2B2","up",0.000173084141,0.010374729,8.6302975,10603,3.10941029224049
"CGRRF1","up",0.0001735502076,0.010374729,4.606947,10668,2.2038110007472
"SLC22A1","up",0.000174443186,0.01039753,43.4985026,6580,5.44289383311914
"TMEM216","up",0.0001755245046,0.010431391,3.7538056,51259,1.90835393861365
"IDH3B","up",0.0001762080654,0.010441484,2.4968518,3420,1.32011019301215
"SENP8","up",0.0001803577494,0.010639614,4.4949816,123228,2.16831521014616
"HIST1H2AC","up",0.0001813238886,0.010639614,17.4886667,8334,4.12834840023499
"PGAP2","up",0.0001820114354,0.010639614,3.7321991,27315,1.90002595106664
