GeneSymbol,Sui1,Sui2,Sui3,Ctrl1,Ctrl2,Ctrl3
TMEM186,6.284292,5.7221518,6.1616197,4.8852,4.653678,5.366741
ID1,9.078295,7.425547,8.570808,5.7643256,4.8366985,6.8773665
HMGB2,9.853698,9.436116,9.60169,7.5924854,6.673327,8.629308
FLRT1,10.981379,10.615108,11.482903,9.883896,9.738984,9.596903
NFE2L1,6.6387897,6.6993113,7.2454348,4.710108,4.3799233,5.329028
TLR1,9.95997,9.022713,9.441584,8.01705,7.3276725,8.715714
C21orf58,4.785906,4.708707,5.2908654,2.9341104,4.1118855,2.7142286
MCEE,6.275801,6.4039946,6.639822,2.6907477,3.3755813,2.7142286
PPIAL4B,16.993483,17.069231,17.203081,15.611422,14.907287,15.905066
CYBASC3,4.6201572,4.8088155,3.924011,2.40226,2.640729,2.7142286
CXorf40A,6.3359113,5.886401,6.377808,4.4568744,5.0754943,5.313483
KIF2A,5.794992,6.152788,6.409787,4.674249,5.306301,4.9114156
NRN1,6.657739,7.3906984,7.492272,2.40226,2.9058833,2.7142286
ZDHHC12,7.2759633,7.1874795,7.0732374,3.9991088,3.188406,4.6761127
