GeneSymbol,Direction,PValue,FDR,FoldChange,EntrezID
ZNF300,up,0.00246992997,0.025088955,7.90434,91975.0
RPLP0,up,0.0024800580403,0.02513415,4.6815902,6175.0
CDK16,down,0.0024802911663,0.02513415,2.4526319,5127.0
C11orf68,up,0.002480644775,0.02513415,4.314766,83638.0
ZNFX1,down,0.0024860305695,0.025160898,8.4430684,57169.0
KLRC2,up,0.0024877423615,0.025160898,2.2049829,3822.0
MRGPRG,up,0.0024882364529,0.025160898,3.9650998,386746.0
RPS7,up,0.0024913066986,0.025179418,31.8356923,6201.0
AGTPBP1,up,0.0024950048224,0.02519174,4.4467707,23287.0
PRDX1,up,0.0025032062737,0.025248808,16.1432185,5052.0
CHID1,up,0.0025035875361,0.025248808,2.0586844,66005.0
SH3D21,down,0.0025043835836,0.025248808,3.4790601,79729.0
CLDN18,up,0.0025063376354,0.02525598,3.0521806,51208.0
IRX6,up,0.0025117232883,0.025297709,4.4529093,79190.0
CELF4,up,0.0025140378788,0.02530562,4.0790223,56853.0
MTHFD2,up,0.0025149988503,0.02530562,10.1969145,10797.0
COMMD10,up,0.0025176772273,0.025320034,2.737249,51397.0
KLK9,up,0.0025260302657,0.02537338,2.9087014,284366.0
PPM1M,up,0.0025267267511,0.02537338,3.8400891,132160.0
BMP6,up,0.002532926494,0.025386265,5.5374362,654.0
DPF3,up,0.0025329924425,0.025386265,3.8080573,8110.0
MTCP1NB,up,0.0025330058854,0.025386265,2.7491729,100272147.0
KRT20,up,0.0025343381817,0.025387099,4.5583378,54474.0
SGTA,up,0.0025364466811,0.025392382,2.3887538,6449.0
KRTAP12-1,up,0.0025373642544,0.025392382,2.9986033,353332.0
LOXL4,up,0.0025408270578,0.025413066,4.1955768,84171.0
C1orf43,up,0.0025466212299,0.025436521,2.0631826,25912.0
MACF1,down,0.0025472240577,0.025436521,2.9857107,23499.0
ZNF397,down,0.0025489166214,0.025436521,3.536473,84307.0
PLB1,up,0.0025497470264,0.025436521,2.4248313,151056.0
SLC38A8,up,0.0025524160322,0.025436521,2.9246054,146167.0
TPSAB1,up,0.0025525283189,0.025436521,4.9667518,7177.0
RELA,up,0.0025538470565,0.025436521,5.1984598,5970.0
GABRG2,up,0.0025542897359,0.025436521,3.0483751,2566.0
E2F1,down,0.0025603002194,0.025483889,3.1034237,1869.0
MDP1,up,0.0025632933783,0.025501193,2.2045003,145553.0
MED15,up,0.0025662631665,0.025504981,10.9948397,51586.0
SPIN4,up,0.002566539635,0.025504981,9.6324914,139886.0
STOX1,up,0.0025674386591,0.025504981,2.8458713,219736.0
PROL1,down,0.0025763073951,0.025572093,2.9333973,58503.0
SPSB4,up,0.0025767107347,0.025572093,4.5156782,92369.0
FTSJ1,up,0.002581045311,0.025602609,2.421399,24140.0
IL12RB1,up,0.0025852357601,0.025631667,4.9395862,3594.0
NUCB1,down,0.0025914076325,0.025680332,48.7500119,4924.0
EEF1A1,up,0.0025930692427,0.025684275,5.7860515,1915.0
CTH,up,0.0026025386385,0.025750701,4.0580349,1491.0
CHTF8,up,0.0026052273399,0.025750701,3.4879121,54921.0
DNAJA4,down,0.0026054414698,0.025750701,2.4039677,55466.0
GOSR1,down,0.0026063354896,0.025750701,2.1139457,9527.0
CDSN,up,0.0026079156736,0.025750701,2.8350014,1041.0
VMA21,up,0.0026092977464,0.025750701,7.3355261,203547.0
ARHGAP27,up,0.0026099111383,0.025750701,4.1696548,201176.0
PHACTR2,down,0.0026123481078,0.025762239,4.6564908,9749.0
FAM105A,up,0.0026140810567,0.025765275,2.1776319,54491.0
CENPA,up,0.0026157911568,0.025765275,5.0311591,1058.0
BBX,down,0.0026177265715,0.025765275,8.2699859,56987.0
ZNF772,up,0.0026212503188,0.02578747,3.2965467,400720.0
STAT6,down,0.0026226732046,0.025788985,2.2409547,6778.0
SLCO2B1,down,0.0026284746048,0.025833533,3.9662377,11309.0
ASAP3,down,0.0026313744272,0.025849534,3.1759005,55616.0
CBL,down,0.0026384993698,0.025885364,4.4442654,867.0
EML4,down,0.0026396680665,0.025885364,4.7057266,27436.0
LAMA3,down,0.0026405369129,0.025885364,2.9111334,3909.0
GDAP2,up,0.0026425555126,0.025885364,2.4590834,54834.0
MYCBP2,up,0.0026426632811,0.025885364,3.0558243,23077.0
SYTL1,up,0.0026453184815,0.025898891,3.7887387,84958.0
ZNF365,up,0.0026474581279,0.025900353,2.4531515,22891.0
ATP1B3,up,0.0026480164225,0.025900353,8.8204743,483.0
THAP2,up,0.0026516711129,0.025923625,4.5690487,83591.0
WHAMM,up,0.0026553651922,0.025936402,6.5898171,123720.0
SRPK2,up,0.0026555302613,0.025936402,2.5822202,6733.0
SNX6,up,0.0026577962095,0.025946065,3.5915585,58533.0
FYTTD1,down,0.0026591954768,0.025947263,9.2282612,84248.0
INTS6,down,0.002666844597,0.026002424,3.2025473,26512.0
WDR83,up,0.0026687007271,0.026002424,2.2357689,84292.0
SPATA5,up,0.0026692361897,0.026002424,3.9371537,166378.0
LCN6,down,0.0026704883598,0.026002424,3.419577,158062.0
CNKSR3,down,0.0026730688655,0.026002424,3.4331987,154043.0
SEPN1,down,0.0026735063936,0.026002424,3.1530393,57190.0
KLHDC3,up,0.0026742065217,0.026002424,5.1867321,116138.0
DCUN1D4,up,0.002675083364,0.026002424,5.8641256,23142.0
SPINT1,up,0.0026789372273,0.026013909,2.7958042,6692.0
HMGB3,up,0.0026800995498,0.026013909,4.9000953,3149.0
CATSPERB,down,0.0026801045524,0.026013909,6.7315458,79820.0
PIGM,up,0.0026860966497,0.026059625,3.3893866,93183.0
SLC25A20,up,0.0026887066982,0.026072502,4.2838499,788.0
CDK5R1,up,0.0026918213648,0.026090257,3.7467805,8851.0
KRTAP16-1,down,0.002697394493,0.026121309,3.3845151,100505753.0
C19orf53,up,0.0026980116926,0.026121309,2.9974908,28974.0
EIF5A,down,0.0027055552868,0.026142941,3.1536424,1984.0
HTR2B,up,0.0027069513671,0.026142941,3.284315,3357.0
ATG14,down,0.0027079554882,0.026142941,4.0350732,22863.0
HERPUD1,up,0.0027123211869,0.026151769,2.0825642,9709.0
C8orf73,down,0.0027166166608,0.026180765,2.3116256,642475.0
CHRM1,up,0.0027221918619,0.02620964,4.3020496,1128.0
HLX,up,0.0027253042744,0.02621477,4.4918901,3142.0
YPEL2,down,0.0027287823155,0.026235809,5.2132822,388403.0
CCND3,down,0.0027401055463,0.02633222,222.8223338,896.0
LUC7L2,up,0.0027426214005,0.026339908,5.2168949,51631.0
EXOC7,up,0.0027434974552,0.026339908,2.3004423,23265.0
CCDC152,down,0.0027463982559,0.026342871,5.9001409,100129792.0
HTR5A,down,0.0027477334034,0.026343246,293.839289,3361.0
SLC39A7,up,0.0027514878106,0.026357925,3.1132544,7922.0
PLTP,up,0.0027518581789,0.026357925,7.6586938,5360.0
RANBP2,down,0.0027548859425,0.026374497,5.346987,5903.0
MSRA,up,0.0027608753176,0.026418961,3.1488778,4482.0
GAB4,down,0.002762603239,0.026418961,4.2080215,128954.0
GYLTL1B,down,0.0027634298203,0.026418961,25.8067501,120071.0
TBP,up,0.0027675853877,0.026419068,2.798143,6908.0
KRTAP5-9,up,0.0027685716817,0.026419068,8.7465756,3846.0
LY6G6C,up,0.0027699229744,0.026419068,10.6742184,80740.0
FOXL1,up,0.0027699401947,0.026419068,7.4184916,2300.0
TMEM168,up,0.0027713186951,0.026419818,7.998914,64418.0
JMJD7-PLA2G4B,up,0.0027729343132,0.026422827,4.4870316,8681.0
TBCEL,down,0.0027764005796,0.026423202,2.5231412,219899.0
LPAR3,up,0.0027775417885,0.026423202,3.4868515,23566.0
OR2L13,up,0.0027787734074,0.026423202,2.7934787,284521.0
KCNAB2,down,0.0027801319595,0.026423202,4.766564,8514.0
ZBTB8B,up,0.0027811640218,0.026423202,3.4351695,728116.0
OR2V1,up,0.0027826392443,0.026423202,2.5548533,26693.0
SUGP2,up,0.0027860268616,0.026423202,2.9556177,10147.0
SLC1A4,up,0.0027866870124,0.026423202,3.0769736,6509.0
BMP2K,up,0.0027872020368,0.026423202,4.6592149,55589.0
LARP1B,up,0.0027923788167,0.02644978,4.4883428,55132.0
ELAVL1,up,0.0027926803028,0.02644978,2.2424496,1994.0
PCBP1,up,0.0027942764093,0.026450363,3.0443263,5093.0
PRR5-ARHGAP8,up,0.0027953446061,0.026450363,4.0768514,553158.0
VIM,up,0.0027984418703,0.026455412,3.282241,7431.0
PPAPDC1B,down,0.0027985176944,0.026455412,2.2862257,84513.0
FAM149B1,up,0.0027997830597,0.026455412,2.1700395,317662.0
MARVELD3,down,0.0028019916918,0.026463978,2.991462,91862.0
ADIPOR1,up,0.002806480116,0.026479724,10.9312176,51094.0
PANK2,up,0.0028070462824,0.026479724,6.0629076,80025.0
MAP9,down,0.0028088915039,0.026479724,2.85922,79884.0
SORBS2,down,0.0028094255667,0.026479724,2.3220886,8470.0
ETV5,down,0.0028101728857,0.026479724,5.1331827,2119.0
SLC22A6,up,0.0028142341459,0.026493784,2.4814521,9356.0
IDUA,up,0.0028159248942,0.026493784,5.5889411,3425.0
EPN2,up,0.0028174941247,0.026493784,3.3047094,22905.0
GPR174,up,0.002817523226,0.026493784,4.7209156,84636.0
MAP3K7,up,0.0028181826278,0.026493784,4.1053349,6885.0
CYBASC3,up,0.0028195871776,0.026494734,3.6433242,220002.0
AIMP1,up,0.0028320786373,0.026587553,5.8749762,9255.0
ZDHHC4,up,0.0028332091861,0.026587553,3.3439575,55146.0
SNX11,up,0.0028356844708,0.026587553,4.1248122,29916.0
ELL2,up,0.0028366572418,0.026587553,2.3272088,22936.0
TUBA1C,up,0.002838374968,0.026587553,4.9583359,84790.0
LHFP,up,0.0028384381913,0.026587553,7.8786244,10186.0
MLLT6,down,0.002838621889,0.026587553,4.1058613,4302.0
IBTK,down,0.0028448452068,0.02660751,5.2447815,25998.0
DUSP10,up,0.0028458391872,0.02660751,2.5357387,11221.0
DNM1L,down,0.0028459889919,0.02660751,2.4892851,10059.0
SECISBP2L,down,0.0028482238286,0.026616161,6.9534968,9728.0
