"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"MYO9A","3.21E-01","6.07E-01","5.86E-02","5.93E-04*",1,0.000593,-0.075675513333333,11.3417635091667,-1.70379321247538,0.110023536929068,0.321224366057742,-4.93468763888699,TRUE,FALSE
"PCGF1","8.01E-06*","3.33E-01","5.54E-01","3.35E-01",1,8.01e-06,-0.111052216749999,9.27180737945833,-1.69671474552531,0.111380545408015,0.323305360302844,-4.94497496047794,TRUE,FALSE
"CORO1C","5.73E-02","3.50E-04*","4.37E-01","5.39E-01",1,0.00035,0.197328754166668,11.1332954404167,1.66336034317078,0.117973239937061,0.33380858426962,-4.99307140285831,TRUE,FALSE
"OSTF1","8.26E-04*","1.26E-01","8.34E-01","7.08E-01",1,0.000826,0.120329812166668,10.36178424975,1.62459324079679,0.126059072415955,0.346322502043195,-5.04817327576539,TRUE,FALSE
"KCNJ6","3.02E-01","1.29E-03†","2.00E-04*","8.72E-02",2,2e-04,0.0822500925000006,5.28949085425,1.60722793135013,0.129833377681762,0.352084369988453,-5.07257084531201,TRUE,FALSE
"EPB41L5","7.45E-01","5.26E-01","5.90E-02","1.74E-04*",1,0.000174,-0.095732845583333,7.503093112125,-1.59068322706293,0.133519242044293,0.357543011372196,-5.09564882859721,TRUE,FALSE
"PAQR9","5.49E-04*","6.67E-01","3.56E-01","1.03E-03†",2,0.000549,0.219722129916667,5.68797296929167,1.59037154611804,0.133589530849375,0.357543011372196,-5.09608201501601,TRUE,FALSE
"SAA2","7.24E-01","2.15E-01","8.90E-01","6.75E-04*",1,0.000675,-0.1193319235,5.81526020358333,-1.56941117421936,0.138389630384231,0.364441274285857,-5.12507890507017,TRUE,FALSE
"WDR54","5.62E-07*","1.89E-01","3.01E-01","5.19E-01",1,5.62e-07,-0.0851881959166664,9.39921481404167,-1.46666378342331,0.1640924685452,0.399276151786718,-5.26327437596524,TRUE,FALSE
"GPR132","2.63E-01","4.26E-01","1.36E-02†","3.39E-04*",2,0.000339,-0.05756175925,6.376312866625,-1.42080591965813,0.17679091222597,0.416651012612644,-5.32275816338881,TRUE,FALSE
"NDUFB1","1.92E-04*","9.37E-02","5.86E-01","1.15E-02†",2,0.000192,0.0606557050000005,13.48924559,1.40573369340147,0.181137747029821,0.42216562224052,-5.34200277843035,TRUE,FALSE
"RAPH1","1.94E-01","6.84E-01","2.97E-01","2.66E-04*",1,0.000266,0.150746604416668,9.84851759020833,1.38564932287682,0.187066163558418,0.42998371312969,-5.36740780426931,TRUE,FALSE
"HTRA2","3.08E-05*","3.94E-01","8.46E-02","1.69E-01",1,3.08e-05,0.0639295824999992,10.34207216875,1.34740882991124,0.198791753688527,0.444890332080806,-5.41501204311829,TRUE,FALSE
"ACSL6","2.23E-01","6.88E-01","9.42E-04*","4.29E-02†",2,0.000942,0.0519092037499999,5.645395115375,1.34580664868376,0.199295746111341,0.445601023470647,-5.41698433864036,TRUE,FALSE
"ETNK1","3.31E-01","1.83E-01","8.12E-01","8.67E-04*",1,0.000867,-0.0553516412499993,7.82766128520833,-1.31268950030059,0.209946352164859,0.459171750156015,-5.45734619013067,TRUE,FALSE
"HABP2","6.03E-01","6.28E-04*","5.25E-01","3.12E-01",1,0.000628,0.0765332448333342,5.33395465525,1.25567227913679,0.229346290605711,0.482513910332497,-5.52499218941819,TRUE,FALSE
"TAS2R50","7.76E-01","2.53E-04*","6.03E-01","2.84E-01",1,0.000253,0.0771071429166675,6.051202805625,1.24887778238932,0.231749597264913,0.485073997050548,-5.53289488168954,TRUE,FALSE
"LBX2","7.05E-06*","3.33E-01","6.34E-01","4.88E-01",1,7.05e-06,0.0806327008333341,6.18685481783333,1.23111512768238,0.23812601013737,0.492537257737242,-5.5533929567444,TRUE,FALSE
"PRB2","2.41E-01","1.93E-02†","7.90E-01","8.84E-04*",2,0.000884,-0.0684473368333323,5.20127612933333,-1.21159700279868,0.245289852854363,0.500534990995649,-5.57564499043959,TRUE,FALSE
"BCL9L","7.95E-04*","8.04E-01","7.94E-02","4.64E-02†",2,0.000795,-0.0591622566666675,8.740936609,-1.21020626861548,0.245806628435961,0.501227428715198,-5.57721958772787,TRUE,FALSE
"ABI2","5.59E-01","4.79E-01","1.55E-01","2.55E-04*",1,0.000255,-0.0428200010833327,9.851548703375,-1.20283883585381,0.248558360543477,0.504158585991705,-5.5855366488161,TRUE,FALSE
"THBS2","5.34E-04*","8.51E-01","2.65E-01","5.83E-01",1,0.000534,0.185220685000002,12.2878548983333,1.20290276233545,0.248534381818821,0.504158585991705,-5.58546465923973,TRUE,FALSE
"ENPP6","8.88E-02","2.83E-04*","5.25E-01","6.42E-01",1,0.000283,-0.14921336325,6.03825467720833,-1.2023149739471,0.248754927838978,0.504400299876453,-5.586126469097,TRUE,FALSE
"DCTN1","9.11E-06*","4.64E-01","6.42E-01","8.76E-01",1,9.11e-06,0.060968147166667,9.9699156015,1.11124765066324,0.284779933973908,0.543330597349704,-5.68544892068802,TRUE,FALSE
"GRIK4","8.33E-03†","7.40E-02","8.95E-01","8.37E-04*",2,0.000837,0.103106100333334,5.40376430041667,1.09592480569412,0.291209125802036,0.549957451949242,-5.70152206008595,TRUE,FALSE
"ANXA4","9.59E-04*","3.22E-01","9.13E-01","9.99E-03†",2,0.000959,0.0680273500000012,12.0668185375,1.03192966559148,0.319227164374391,0.579077964355249,-5.76660773050493,TRUE,FALSE
"RPL3","8.27E-04*","9.72E-02","1.11E-01","1.33E-01",1,0.000827,-0.0382771524999971,16.1981227779167,-1.01315915911748,0.327805232517614,0.587335035450773,-5.7850634368733,TRUE,FALSE
"CDH7","7.92E-04*","9.20E-02","7.96E-01","5.40E-01",1,0.000792,0.0486507394166674,6.07682147845833,0.98384114343398,0.341532574045091,0.600265017899465,-5.81330423181969,TRUE,FALSE
"RETN","5.91E-01","1.00E-01","1.37E-01","5.63E-04*",1,0.000563,-0.0523473842499993,5.939844267875,-0.964520525301951,0.350798894057671,0.609553815626512,-5.83152091404643,TRUE,FALSE
"RASSF5","5.50E-01","2.54E-01","3.41E-02†","9.81E-04*",2,0.000981,-0.0497381587499997,7.244489748125,-0.954755849523676,0.355548707066746,0.614133558210034,-5.84060759289271,TRUE,FALSE
"WBP1","4.04E-06*","3.82E-01","5.77E-01","1.75E-02†",2,4.04e-06,-0.040980135833332,11.5365076720833,-0.952620051048274,0.356593583199196,0.615266928198117,-5.8425843037179,TRUE,FALSE
"FBP2","1.86E-01","7.06E-01","4.06E-02†","4.11E-04*",2,0.000411,-0.0758564969999996,5.36962365883333,-0.91401842090988,0.375847383746618,0.632549962131144,-5.87763840828636,TRUE,FALSE
"CARF","2.68E-01","9.21E-01","4.68E-01","1.12E-06*",1,1.12e-06,-0.0592682470833318,9.382867008875,-0.911091611527498,0.377335749130104,0.633829408420942,-5.88024397873883,TRUE,FALSE
"RBM15","3.83E-01","7.14E-01","9.07E-04*","3.55E-01",1,0.000907,-0.0499014204166657,7.506476292375,-0.883433898475913,0.391598786860316,0.645863280518832,-5.9044990280792,TRUE,FALSE
"RTKN","3.99E-07*","2.10E-01","5.06E-01","7.41E-01",1,3.99e-07,0.0361274385000011,8.62508312275,0.883514230331072,0.391556840949695,0.645863280518832,-5.90442954424703,TRUE,FALSE
"FCER2","2.43E-01","5.13E-01","4.42E-01","2.62E-04*",1,0.000262,-0.0532027769999992,5.56389130958333,-0.880861008348546,0.392943838988938,0.646863627288174,-5.90672148984167,TRUE,FALSE
