"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rat_Gene_Symbol_exact","HID","Human_Ortholog_Symbol"
"Ttk",69.6263366769975,1.92765659131294,0.846135963066066,4.08951443280314,4.32277171294719e-05,0.00810126716930966,"Ttk",2489,"TTK"
"Spata13",120.302136384402,-3.01365034101749,0.856953002579793,-4.07866222402946,4.52955905842036e-05,0.00836210686471663,"Spata13",19482,"SPATA13"
"Krtdap-2",490.296957482843,2.66930577064033,0.862945711915315,4.05647799769246,4.98182530938232e-05,0.00906179371349264,"Krtdap-2",NA,NA
"Tmem119",60.7351091359993,2.53041431094381,0.862026069044095,4.04419007779874,5.25043108277869e-05,0.00941196841491154,"Tmem119",17145,"TMEM119"
"Piwil4",66.4260587709616,-2.04904306010592,0.851146346980594,-4.03499840968495,5.46026674073744e-05,0.00964829133088306,"Piwil4",45122,"PIWIL4"
"Afap1l2",611.772682162133,2.30418798483577,0.576500893250024,3.99819077825505,6.38284970013927e-05,0.0109307208272088,"Afap1l2",13057,"AFAP1L2"
"Ptpn7",125.520091394521,2.60071834839735,0.862951905619481,3.99589561146944,6.44501306041219e-05,0.0109307208272088,"Ptpn7",15411,"PTPN7"
"Tspan7",1478.84959653339,-2.38798718234944,0.598083959311401,-3.99567020041852,6.45114900465877e-05,0.0109307208272088,"Tspan7",20967,"TSPAN7"
"Serpinb10",2017.94803914696,2.76627260623063,0.695996756741854,3.99091763180362,6.58181380413999e-05,0.0110014128301902,"Serpinb10",68430,"SERPINB10"
"Fam102b",499.958978756252,2.37815580861982,0.599693879881261,3.96758032207332,7.2606045241919e-05,0.0116749068446196,"Fam102b",NA,NA
"Galns",74.9754517729291,-1.8779264192384,0.844028867345823,-3.96734055695084,7.26791031640155e-05,0.0116749068446196,"Galns",55468,"GALNS"
"Mx2",117.721114969734,-2.43101803805642,0.861473167981494,-3.97054145879093,7.1709475897426e-05,0.0116749068446196,"Mx2",1844,"MX1"
"Sh3d19",1259.63951175523,1.84226395403246,0.467087506648365,3.94418606298896,8.00714726576926e-05,0.0126974877602949,"Sh3d19",19064,"SH3D19"
"Fmn1",79.5260454851594,3.0929909265907,0.843905400564582,3.93227594640829,8.41453944935501e-05,0.013009929806134,"Fmn1",121778,"FMN1"
"Slc22a5",912.534962647354,-3.03055487363815,0.846648203081943,-3.93515371386581,8.31434650910614e-05,0.013009929806134,"Slc22a5",68295,"SLC22A5"
"Gfra3",60.5250637826367,-1.97100469930018,0.848256790568821,-3.92008661438907,8.85171497346359e-05,0.0133520564032648,"Gfra3",1146,"GFRA3"
"Hsd17b2",190.987691800542,-2.6558992626934,0.862868001212003,-3.92099136673142,8.81854226224744e-05,0.0133520564032648,"Hsd17b2",99709,"HSD17B2"
"LOC680835",88.0734077889154,-3.09617406013203,0.837991228744009,-3.89849041400587,9.67942318642613e-05,0.0144246729389042,"LOC680835",NA,NA
"Gfpt2",90.1115520185472,-2.6126023883395,0.862963611967845,-3.88832352033633,0.000100939024343172,0.0148632713345321,"Gfpt2",68439,"GFPT2"
"Mzf1",90.7864872192325,-2.38277563639311,0.860509364888152,-3.87146935119539,0.000108181261317069,0.0157422826027156,"Mzf1",9633,"MZF1"
"LOC102548231",73.0952218357524,-1.75133626761379,0.837332910646282,-3.84441544095486,0.000120840142812563,0.0173799037959139,"LOC102548231",NA,NA
"Plcl1",52.5960436348526,-3.0747901734776,0.845179282136182,-3.83246254273359,0.000126866920642535,0.0180369763382473,"Plcl1",38155,"PLCL1"
"Bend3",121.183288264976,2.89841491801449,0.777056305229347,3.77463571247634,0.00016024165447384,0.0225230570930332,"Bend3",19511,"BEND3"
"Aldh1a3",86.8046295168554,-2.59258218230451,0.863003510100308,-3.76285734250904,0.000167983033554899,0.023086468244895,"Aldh1a3",68080,"ALDH1A3"
"Camta2",426.736920711618,-2.30313760787433,0.612084725968799,-3.76451462088524,0.000166872904723375,0.023086468244895,"Camta2",9021,"CAMTA2"
"Hoxd12",57.8469852679554,-1.78026811181593,0.839133417645254,-3.73876739389178,0.000184924730726902,0.0249795073642777,"Hoxd12",7369,"HOXD12"
"Krt14",34244.1831941914,2.78020516749041,0.751065816367512,3.73758495582136,0.000185796319630815,0.0249795073642777,"Krt14",110439,"KRT14"
"Fut4",322.141347400304,-2.91215933715648,0.800715076855937,-3.72238556919221,0.000197349355673723,0.0259682359609392,"Fut4",1538,"FUT4"
"Sphk1",550.965076051521,2.00603887014094,0.538647706433397,3.72437000901302,0.000195803571055407,0.0259682359609392,"Sphk1",39748,"SPHK1"
"LOC102555635",93.1450457046996,-2.74368924559017,0.860556283956674,-3.71302515567364,0.000204796522145855,0.0265080665482781,"LOC102555635",NA,NA
"Xrcc4",93.1803006623826,-2.95356926630637,0.833113694619078,-3.71186454550047,0.000205738086234513,0.0265080665482781,"Xrcc4",2555,"XRCC4"
"Krt10",986.831112381377,2.89436919819979,0.798925800513379,3.70905701067126,0.000208032587118244,0.0265273718563459,"Krt10",NA,NA
"Lrrc61",62.219152147082,-2.52459764429681,0.862667579690407,-3.70596851883628,0.000210584457144762,0.0265787668410567,"Lrrc61",41538,"LRRC61"
