"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Ecm1",2390.32545570703,2.00889036337456,0.406101630370659,4.94676754077791,7.54559953914861e-07,0.000179048124657764,"ECM1",1893
"Bend3",121.181401208421,4.11449455134556,0.835002713382553,4.92752237256566,8.32788903285631e-07,0.000194317410766647,"BEND3",57673
"Zfp879",83.7339668534401,-8.82775989822549,1.79656752181704,-4.91368111191121,8.93820869938982e-07,0.00020513921605157,"ZNF879",345462
"Tmem119",60.7964971979251,8.67820496569267,1.78324304191062,4.8665295541513,1.1357494630709e-06,0.000256459556177299,"TMEM119",338773
"Amer1",91.9125101758329,-9.92845454195895,2.04341963029414,-4.85874481910981,1.18132271443505e-06,0.000262516158763345,"AMER1",139285
"Piwil4",66.5642315333833,-9.4631067262549,1.94984675964667,-4.85325663641881,1.21450357395245e-06,0.000265672656802099,"PIWIL4",143689
"LOC100911410",47.7789165328037,-8.98453150804065,1.85605000209212,-4.84067320272264,1.29400017744943e-06,0.00027870773052757,NA,NA
"Gfra3",60.6136602002992,-9.3280662892423,1.933089963108,-4.82546930937695,1.39673973263799e-06,0.000296278125105029,"GFRA3",2676
"Hmox1",466.679622074326,9.84044451057421,2.05783391295721,4.78194301717624,1.73608897117983e-06,0.000362764859649517,"HMOX1",3162
"Lrrc61",62.3059364717091,-7.52301993052968,1.57842168583769,-4.76616609999065,1.87764486796694e-06,0.000386573943404959,"LRRC61",65999
"Ago1",767.968606640793,2.69085628884716,0.569141335317368,4.72792278801305,2.26828403251604e-06,0.000453656806503209,"AGO1",26523
"Ttk",69.5604902500758,9.83619191834686,2.08005048270958,4.72882365120953,2.25824419021124e-06,0.000453656806503209,"TTK",7272
"Fmn1",79.5945795323341,5.67115505951392,1.20312017308956,4.71370623347678,2.43251285730794e-06,0.000479650422567763,"FMN1",342184
"Wasf1",78.1461282749307,10.0035347706814,2.13093668415901,4.69443078484962,2.67350110997065e-06,0.00051984743804985,"WASF1",8936
"Myrfl",56.40132497903,-7.52373397651963,1.6076123870466,-4.68006718357136,2.8678092526209e-06,0.000549990815571131,"MYRFL",196446
"Spata13",120.458601417247,-6.59673664262677,1.41045070445173,-4.67704161641795,2.91043208574451e-06,0.000550622286492205,"SPATA13",221178
"Xrcc4",93.3687438874423,-5.03682762113902,1.07768054703506,-4.67376685511903,2.95725024391224e-06,0.000552020045530284,"XRCC4",7518
"LOC680835",88.2855014725888,-5.45166450452623,1.17011711855456,-4.65907593186966,3.17632029548466e-06,0.000585111633378754,NA,NA
"Tcf23",78.3141503055266,-9.69734803915776,2.08444915005599,-4.65223535863051,3.28355997310309e-06,0.000597010904200561,"TCF23",150921
"LOC102546781",48.374558614299,-9.00222916115488,1.94262900270268,-4.63404445657434,3.58589934278406e-06,0.000643622958961241,NA,NA
