"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"VEPH1",0.0063271966662,0.037858793,63.3327199,"up",9.569227,9.629627,6.194211,2.40226,2.321939,2.7142286,5.98487913390168
"GRAPL",0.006327494214,0.037858793,3.241249,"up",5.695563,5.22536,6.009899,4.1156855,3.4927459,4.232741,1.69654985597398
"TRMT11",0.0063336160466,0.037884269,2.1800743,"up",10.417102,10.682972,10.719079,9.452259,9.164937,9.828825,1.12437730491729
"FRMD6",0.0063382925544,0.037894487,2.8366278,"down",3.923121,4.716429,4.471436,6.2010946,5.664683,5.757739,-1.50417686392872
"KRTAP10-8",0.0063395200928,0.037894487,2.2442432,"down",9.825815,9.827908,10.017386,11.257148,11.282402,10.630246,-1.16622902372852
"PLAA",0.00634511696,0.037894487,7.103414,"up",9.041629,9.322451,9.373294,6.065783,5.7270403,7.459013,2.82851257068511
"HS3ST3B1",0.0063453743219,0.037894487,3.5697439,"up",5.230636,4.9228306,5.3350964,3.4314167,3.835456,2.7142286,1.83582057636837
"PKD1L2",0.0063467301399,0.037894487,3.535976,"up",9.627634,9.357927,9.325255,7.68458,7.0039625,8.155948,1.82210848264832
"C10orf118",0.0063517243138,0.037894487,3.5823128,"down",3.4063458,3.772193,3.4997172,5.407334,4.818464,5.975132,-1.84089131591294
"STON2",0.0063538054408,0.037894487,2.4802755,"up",4.9595213,4.5671196,5.1990237,3.448864,3.4092104,3.936089,1.31050037884143
"PLP1",0.0063538818151,0.037894487,4.2275425,"up",7.00369,6.6125245,6.781943,4.3456297,5.480846,4.332224,2.07981925829724
"BTC",0.0063570010811,0.037894487,4.9912667,"down",8.277603,9.088461,7.589053,10.811859,10.601863,10.499613,-2.31940599389902
"PXDN",0.0063636083829,0.037894487,2.1633287,"up",4.5132346,4.4190316,4.9667187,3.2912536,3.5301354,3.7378373,1.1132528875984
"BICD2",0.0063643322291,0.037894487,3.3889269,"down",4.2210984,4.28463,3.587143,5.9210024,5.3050165,6.149338,-1.76082851786502
"IQGAP1",0.0063643617438,0.037894487,4.2914334,"down",4.910681,4.9638324,3.7644691,6.4686866,6.7203507,6.754324,-2.10145960895308
"DCBLD1",0.0063646223516,0.037894487,2.9420985,"up",6.2201447,6.399925,6.5844736,4.703504,4.449143,5.3813596,1.55684554811643
"GLE1",0.0063656638003,0.037894487,6.2801853,"up",8.722646,9.010369,8.877515,6.1988826,5.364506,7.09472,2.65080712718174
"TLR9",0.0063751567608,0.037923501,5.9878137,"down",7.120456,6.921942,7.233514,9.141539,10.642474,9.237987,-2.58202933524615
"CYTIP",0.0063756262111,0.037923501,3.4611825,"down",6.2859683,5.9408145,6.0582876,7.7296357,8.514584,7.4146457,-1.79126501341999
"WDR1",0.0063907508728,0.037986075,2.4629384,"up",7.655489,7.9676094,8.196811,6.254135,6.8501205,6.8145123,1.30038054536596
"NTN5",0.0063917628616,0.037986075,8.05517,"up",4.5403194,5.4645443,6.4949026,2.40226,2.3535326,2.7142286,3.00991503655058
