"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"LOC107985251",-1.95876763812173,19.0164375252628,-4.38511984756978,1.15921937527816e-05,0.00107620747933663
"FBXW10",2.16236164767238,53.6574069299275,4.38337251962656,1.1685604084365e-05,0.00108030204847442
"PRKCB",-1.85952649327872,456.751572467934,-4.3794880715209,1.18958432663227e-05,0.00109053525508423
"RXFP1",-2.45133092152473,49.7657726490152,-4.37618177930785,1.20776302434909e-05,0.00110258699431203
"NOSTRIN",-1.88231394731591,273.072164937789,-4.37504090357076,1.21409710036128e-05,0.00110377043439484
"NECAB1",-1.87470679010965,92.0153853657732,-4.37005646942226,1.2421441024063e-05,0.00111997437381572
"NALF1",-1.6889187698794,80.9865836994047,-4.36525530517644,1.26974369299337e-05,0.00114016738989692
"MYCT1",-1.20698039271443,172.766680882614,-4.36435377704468,1.27499098088609e-05,0.00114020622004956
"GATA5",-3.23002814029178,66.7287190021348,-4.35861173525482,1.30890090827688e-05,0.00116577312603034
"SNORD31",1.69178391613614,35.7740419095752,4.34577518345096,1.3878465903494e-05,0.00121639406483358
"DOLPP1",1.37101867816971,221.710285249269,4.34575978951704,1.38794393522772e-05,0.00121639406483358
"GPR157",1.94741214875842,1483.75424619732,4.33999069117222,1.42488751974693e-05,0.00124336800714571
"TACR1",-1.39255557266799,321.791613325119,-4.33919255032498,1.43007182930497e-05,0.00124336800714571
"FUT6",3.31103838824571,179.85654888577,4.33153776581699,1.48071543158487e-05,0.00126476501479253
"ULK3",1.00247882220555,962.660728289855,4.33143023293205,1.48143889791656e-05,0.00126476501479253
"LOC101929963",-2.00605299809015,32.6165959488076,-4.32972794373066,1.49293666178323e-05,0.00126476501479253
"EMX2OS",-2.5253949410963,939.677794938921,-4.32917755546394,1.49667231416497e-05,0.00126476501479253
"PLD5",-3.34534678302688,62.0978543700475,-4.32875987793275,1.49951316491033e-05,0.00126476501479253
"CHP1",1.01081878210518,1676.49322933959,4.32857450002209,1.50077566700849e-05,0.00126476501479253
"CLIC3",2.84059238100352,528.702647531671,4.32856180230048,1.5008621809496e-05,0.00126476501479253
"YPEL3",-1.02110767653261,465.989785368927,-4.31644148790015,1.58564687540324e-05,0.00133109283678486
"IGSF1",-2.14510333278912,43.2886655076881,-4.31542640613899,1.59295116004875e-05,0.00133212060750642
"PRKG1",-1.60102546699814,726.133307020655,-4.31358728445498,1.60626681021639e-05,0.00133814850995594
"KEL",-1.97610667918625,21.2897918999407,-4.30958354442489,1.63562261778398e-05,0.00135744286195633
"LOC101928847",-2.03016081404412,27.8043382592834,-4.30779414743366,1.64890734913316e-05,0.00136095753502975
"SHANK2-AS1",2.33479019628692,25.6368123151987,4.3073419572547,1.65228071345465e-05,0.00136095753502975
"RHBDL2",1.82863228453854,147.432714353303,4.29980731543493,1.70946673708897e-05,0.00140278712395578
"LOC221946",2.22713387704747,401.849427891663,4.29856548280635,1.71907113974509e-05,0.00140540480118712
"LINC00842",1.92284908096026,35.3190095617235,4.2868460988105,1.81227755568053e-05,0.00147243968938637
"DPY19L2",-2.05350917213649,494.621211984197,-4.28657273924136,1.81450806085952e-05,0.00147243968938637
"ADAM22",-1.75984933261516,368.131286404419,-4.28491604837545,1.82808205480803e-05,0.00147798073139645
"WHAMMP3",-1.3996778947627,76.7295789908962,-4.28252361080309,1.84785517030606e-05,0.00148847451402227
"FAM110B",-1.4544479038135,330.021938370649,-4.27989139261752,1.86984537660235e-05,0.00149519387596195
"ACSS3",-1.49072702801762,378.111392968301,-4.27735180695965,1.89129781478098e-05,0.0015068485498855
"LINC02880",-2.20594655143572,12.2787574227311,-4.27634446721204,1.8998718012696e-05,0.00150819533209482
"SYT14",-3.03153333535517,16.3071925646598,-4.27022347299306,1.9527720293912e-05,0.0015431993147339
"SIGLEC16",-1.32366680434663,91.4879140283211,-4.26962111821968,1.9580529872023e-05,0.0015431993147339
"PLA2G4D",4.65264287609947,197.136947474244,4.26533664547893,1.99601009461532e-05,0.0015655458592976
"HCG23",-2.02581719706954,10.4894976421332,-4.2639997160455,2.00799698474362e-05,0.0015655458592976
